,model_name,hyperparameter_setting,mean_training_rmse,sd_training_rmse,test_rmse
0,KNN,15,1.2061837627132541,0.020578430660427232,1.1555521140558394
1,Ridge,10.0,1.160155236460384,0.026582927824394545,1.0806060595928544
2,DTR,5_squared_error,1.206996612035179,0.023953895644957226,1.141590877067825
